id,category,value,score,flag
1,C,32.75082167486967,96.95846277645586,True
2,A,44.37712470759027,77.51328233611146,True
3,C,39.87168879665576,93.9498941564189,True
4,C,53.142473325952736,89.48273504276489,True
5,A,40.91975924478789,59.78999788110851,True
6,A,35.87696298664709,92.18742350231169,False
7,C,64.65648768921554,8.84925020519195,True
8,B,47.74223699513465,19.59828624191452,False
9,C,50.67528204687924,4.522728891053807,True
10,C,35.75251813786544,32.53303307632643,False
11,C,44.556172754748175,38.8677289689482,True
12,C,51.10922589709866,27.134903177389592,True
13,A,38.490064225776976,82.87375091519293,False
14,C,53.75698018345672,35.67533266935893,False
15,B,43.99361310081195,28.093450968738075,False
16,A,47.083062502067236,54.26960831582485,True
17,B,43.98293387770603,14.092422497476264,False
18,B,68.52278184508938,80.21969807540397,True
19,B,49.86502775262066,7.455064367977082,True
20,B,39.422890710440996,98.68869366005173,False
21,A,58.225449121031886,77.22447692966574,False
22,A,37.791563500289776,19.87156815341724,True
23,B,52.08863595004755,0.5522117123602399,True
24,B,30.403298761202244,81.54614284548342,False
25,A,36.71813951101569,70.68573438476172,False
26,B,51.96861235869123,16.122128725400444,False
27,C,83.72296253626672,92.96976523425731,True
28,C,40.79609194932624,80.8120379564417,True
29,A,46.01361609984799,63.34037565104234,True
30,C,49.39135912525254,87.14605901877177,True
31,A,35.81249541408597,80.36720768991145,False
32,C,60.42491617339421,18.657005888603585,False
33,B,59.035324906258424,89.25589984899777,True
34,C,50.1900033106215,53.93422419156507,True
35,A,44.65583546326495,80.74401551640625,False
36,A,35.049461291856645,89.60912999234932,True
37,B,42.1074167130208,31.800347497186387,True
38,C,57.43711283771227,11.005192452767677,True
39,C,47.87838578288373,22.793516254194166,False
40,B,45.73131205960277,42.71077886262563,False
